confianza,id_aviso,titulo,comuna,tipo,operacion,precio_uf,precio_clp,m2_util,m2_total,dormitorios,banos,senales,url
BAJA,4162528690,Frankfort // San Nicolas,san-miguel,departamento,venta,1772.0,72376968,30,30,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4162528690-frankfort-san-nicolas-_JM
BAJA,2069547365,Hermoso Departamento Vista Despejada Oriente Sn Miguel,san-miguel,departamento,venta,1811.74,74000000.0,30,32,1,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-2069547365-hermoso-departamento-vista-despejada-oriente-sn-miguel-_JM
BAJA,3859052412,Departamento Ideal Para Inversión,san-miguel,departamento,venta,2448.29,100000000.0,33,33,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3859052412-departamento-ideal-para-inversion-_JM
BAJA,4201715372,Metro Departamental (136294),san-miguel,departamento,venta,2399.33,98000000.0,51,54,2,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4201715372-metro-departamental-136294-_JM
BAJA,3973063544,Se Vende Departamento De 1 Dormitorio 1 Baño,san-miguel,departamento,venta,1950.0,79647340,1,31,1,1,superficies_incoherentes | m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-3973063544-se-vende-departamento-de-1-dormitorio-1-bano-_JM
BAJA,2048446831,Home-office + Bodega + 50m2 | Metro Cerca  (169146),san-miguel,departamento,venta,2850.0,116407652,49,52,2,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-2048446831-home-office-bodega-50m2-metro-cerca-169146-_JM
BAJA,4201707120,Vende Depto San Miguel,san-miguel,departamento,venta,2449.0,100028891,55,55,2,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4201707120-vende-depto-san-miguel-_JM
BAJA,3730604118,Venta | San Miguel | 20 M2 | Oriente | Depto Rebajado,san-miguel,departamento,venta,1390.0,56774258,18,20,1,1,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-3730604118-venta-san-miguel-20-m2-oriente-depto-rebajado-_JM
BAJA,1942691381,Vive En Altura Con Hermosa Vista Despejada Y Panor...,san-miguel,departamento,venta,4990.0,203815502,82,92,3,2,nombre_de_proyecto,https://portalinmobiliario.com/MLC-1942691381-vive-en-altura-con-hermosa-vista-despejada-y-panor-_JM
BAJA,4170200306,Estudio Barrio Residencial Y Seguro Cerca Metro (175118),san-miguel,departamento,venta,1750.0,71478382,24,24,1,0,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4170200306-estudio-barrio-residencial-y-seguro-cerca-metro-175118-_JM
BAJA,1957330673,Departamento En Condominio Parque Santa Rosa / 3d Mas Estac.,san-miguel,departamento,venta,2380.0,97210600,46,49,3,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-1957330673-departamento-en-condominio-parque-santa-rosa-3d-mas-estac-_JM
BAJA,3584425248,Hermoso Y Amplio Dpto 3d2b+e En San Miguel,san-miguel,departamento,venta,3000.0,122534370,1,56,3,2,superficies_incoherentes | m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-3584425248-hermoso-y-amplio-dpto-3d2be-en-san-miguel-_JM
BAJA,3847993050,Moderno Departamento Recién Remodelado.,san-miguel,departamento,venta,1958.63,80000000.0,39,39,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3847993050-moderno-departamento-recien-remodelado-_JM
BAJA,1932608017,Arrendado Ideal Para Inversión,san-miguel,departamento,venta,1880.0,76788205,32,36,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1932608017-arrendado-ideal-para-inversion-_JM
BAJA,1868772497,Venta Depto Salesianos,san-miguel,departamento,venta,3500.0,142956765,60,,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1868772497-venta-depto-salesianos-_JM
BAJA,1960136401,Departamento En Salesianos,san-miguel,departamento,venta,2000.0,81689580,33,33,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1960136401-departamento-en-salesianos-_JM
BAJA,4032153444,En Venta Estudio Con Terraza Y Estacionamiento San Miguel,san-miguel,departamento,venta,1850.0,75562862,19,22,1,1,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-4032153444-en-venta-estudio-con-terraza-y-estacionamiento-san-miguel-_JM
BAJA,4034241630,Oferton Inversion/vivir Semi Nuevo San Miguel Cercano Metro,san-miguel,departamento,venta,1550.0,63309424,18,21,1,1,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-4034241630-oferton-inversionvivir-semi-nuevo-san-miguel-cercano-metro-_JM
BAJA,2031473209,Condominio Parque Ciudad Del Niño,san-miguel,departamento,venta,2300.0,93943017,45,47,2,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-2031473209-condominio-parque-ciudad-del-nino-_JM
BAJA,2001160337,Venta Depto Rebajado De 1d-1b- 20m2. Metro. San Miguel.,san-miguel,departamento,venta,1390.0,56774258,18,20,1,1,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-2001160337-venta-depto-rebajado-de-1d-1b-20m2-metro-san-miguel-_JM
